Airline,ORG,DES,Aircraft_Family,Aircraft_Type,June_2019_Flights,June_2019_Seats,June_2019_ASMs,June_2018_Flights,June_2018_Seats,June_2018_ASMs,June_Diff_Flights,June_Diff_Seats,June_Diff_ASMs,June_Rate_Flights,June_Rate_Seats,June_Rate_ASMs
PB,YYR,YBX,DeHavilland Dash-8,DHC-8-300,0,0,0,21,"1,071","201,348",-21,"-1,071","-201,348",-100.00%,-100.00%,-100.00%
PB,YYR,YDF,DeHavilland Dash-8,DHC-8-100,4,148,"46,176",21,777,"242,424",-17,-629,"-196,248",-81.00%,-81.00%,-81.00%
PB,YYR,YDF,DeHavilland Dash-8,DHC-8-300,74,"3,774","1,177,488",51,"2,601","811,512",23,"1,173","365,976",45.10%,45.10%,45.10%
PB,YYR,YDP,DeHavilland,DHC-6 Twin Otter,26,494,"112,632",27,513,"116,964",-1,-19,"-4,332",-3.70%,-3.70%,-3.70%
PB,YYR,YNP,DeHavilland,DHC-6 Twin Otter,22,418,"76,076",23,437,"79,534",-1,-19,"-3,458",-4.30%,-4.30%,-4.30%
PB,YYR,YQX,DeHavilland Dash-8,DHC-8-100,0,0,0,9,333,"131,535",-9,-333,"-131,535",-100.00%,-100.00%,-100.00%
PB,YYR,YRG,DeHavilland,DHC-6 Twin Otter,27,513,"55,404",27,513,"55,404",0,0,0,0.00%,0.00%,0.00%
PB,YYR,YWK,DeHavilland Dash-8,DHC-8-100,0,0,0,25,925,"249,750",-25,-925,"-249,750",-100.00%,-100.00%,-100.00%
PB,YYR,YWK,DeHavilland Dash-8,DHC-8-300,35,"1,785","481,950",11,561,"151,470",24,"1,224","330,480",218.20%,218.20%,218.20%
PB,YYR,YYT,DeHavilland Dash-8,DHC-8-100,0,0,0,13,481,"249,639",-13,-481,"-249,639",-100.00%,-100.00%,-100.00%
PB,YYR,YYT,DeHavilland Dash-8,DHC-8-300,0,0,0,4,204,"105,876",-4,-204,"-105,876",-100.00%,-100.00%,-100.00%
PB,YYR,ZUM,DeHavilland Dash-8,DHC-8-100,0,0,0,1,37,"5,661",-1,-37,"-5,661",-100.00%,-100.00%,-100.00%
PB,YYR,ZUM,DeHavilland Dash-8,DHC-8-300,22,"1,122","171,666",22,"1,122","171,666",0,0,0,0.00%,0.00%,0.00%
PB,YYT,YAY,DeHavilland Dash-8,DHC-8-100,26,962,"289,562",14,518,"155,918",12,444,"133,644",85.70%,85.70%,85.70%
PB,YYT,YAY,DeHavilland Dash-8,DHC-8-300,0,0,0,16,816,"245,616",-16,-816,"-245,616",-100.00%,-100.00%,-100.00%
PB,YYT,YDF,DeHavilland Dash-8,DHC-8-100,26,962,"231,842",26,962,"231,842",0,0,0,0.00%,0.00%,0.00%
PB,YYT,YDF,DeHavilland Dash-8,DHC-8-300,31,"1,581","381,021",33,"1,683","405,603",-2,-102,"-24,582",-6.10%,-6.10%,-6.10%
PB,YYT,YJT,DeHavilland Dash-8,DHC-8-100,8,296,"81,696",1,37,"10,212",7,259,"71,484",700.00%,700.00%,700.00%
PB,YYT,YJT,DeHavilland Dash-8,DHC-8-300,0,0,0,3,153,"42,228",-3,-153,"-42,228",-100.00%,-100.00%,-100.00%
PB,YYT,YQX,DeHavilland Dash-8,DHC-8-100,0,0,0,3,111,"13,764",-3,-111,"-13,764",-100.00%,-100.00%,-100.00%
PB,YYT,YQX,DeHavilland Dash-8,DHC-8-300,26,"1,326","164,424",29,"1,479","183,396",-3,-153,"-18,972",-10.30%,-10.30%,-10.30%
PB,YYT,YWK,DeHavilland Dash-8,DHC-8-300,0,0,0,2,102,"73,746",-2,-102,"-73,746",-100.00%,-100.00%,-100.00%
PB,YYT,YYR,DeHavilland Dash-8,DHC-8-100,0,0,0,13,481,"249,639",-13,-481,"-249,639",-100.00%,-100.00%,-100.00%
PB,YYT,YYR,DeHavilland Dash-8,DHC-8-300,0,0,0,3,153,"79,407",-3,-153,"-79,407",-100.00%,-100.00%,-100.00%
PB,YYY,YCL,Beechcraft,Beech 1900D Airliner,13,247,"23,712",13,247,"23,712",0,0,0,0.00%,0.00%,0.00%
PB,YYY,YWK,Beechcraft,Beech 1900D Airliner,13,247,"75,088",13,247,"75,088",0,0,0,0.00%,0.00%,0.00%
PB,YZV,YCL,Beechcraft,Beech 1900D Airliner,0,0,0,1,19,"2,926",-1,-19,"-2,926",-100.00%,-100.00%,-100.00%
PB,YZV,YHR,Beechcraft,Beech 1900D Airliner,4,76,"22,800",4,76,"22,800",0,0,0,0.00%,0.00%,0.00%
PB,YZV,YNA,Beechcraft,Beech 1900D Airliner,22,418,"83,182",23,437,"86,963",-1,-19,"-3,781",-4.30%,-4.30%,-4.30%
PB,YZV,YQB,DeHavilland Dash-8,DHC-8-100,0,0,0,35,"1,295","431,235",-35,"-1,295","-431,235",-100.00%,-100.00%,-100.00%
PB,YZV,YQB,DeHavilland Dash-8,DHC-8-300,46,"2,346","781,218",8,408,"135,864",38,"1,938","645,354",475.00%,475.00%,475.00%
PB,YZV,YUL,DeHavilland Dash-8,DHC-8-100,0,0,0,5,185,"88,430",-5,-185,"-88,430",-100.00%,-100.00%,-100.00%
PB,YZV,YUL,DeHavilland Dash-8,DHC-8-300,5,255,"121,890",0,0,0,5,255,"121,890",,,
PB,YZV,YWK,DeHavilland Dash-8,DHC-8-100,5,185,"34,965",40,"1,480","279,720",-35,"-1,295","-244,755",-87.50%,-87.50%,-87.50%
PB,YZV,YWK,DeHavilland Dash-8,DHC-8-300,48,"2,448","462,672",6,306,"57,834",42,"2,142","404,838",700.00%,700.00%,700.00%
PB,YZV,ZGS,Beechcraft,Beech 1900D Airliner,22,418,"104,082",23,437,"108,813",-1,-19,"-4,731",-4.30%,-4.30%,-4.30%
PB,ZGS,YHR,Beechcraft,Beech 1900D Airliner,22,418,"22,154",23,437,"23,161",-1,-19,"-1,007",-4.30%,-4.30%,-4.30%
PB,ZGS,YHR,DeHavilland,DHC-6 Twin Otter,22,418,"22,154",23,437,"23,161",-1,-19,"-1,007",-4.30%,-4.30%,-4.30%
PB,ZGS,YZV,Beechcraft,Beech 1900D Airliner,22,418,"104,082",23,437,"108,813",-1,-19,"-4,731",-4.30%,-4.30%,-4.30%
PB,ZGS,ZKG,DeHavilland,DHC-6 Twin Otter,22,418,"12,122",23,437,"12,673",-1,-19,-551,-4.30%,-4.30%,-4.30%
PB,ZKG,YNA,DeHavilland,DHC-6 Twin Otter,22,418,"9,614",23,437,"10,051",-1,-19,-437,-4.30%,-4.30%,-4.30%
PB,ZKG,ZGS,DeHavilland,DHC-6 Twin Otter,22,418,"12,122",23,437,"12,673",-1,-19,-551,-4.30%,-4.30%,-4.30%
PB,ZLT,YIF,DeHavilland,DHC-6 Twin Otter,22,418,"12,122",23,437,"12,673",-1,-19,-551,-4.30%,-4.30%,-4.30%
PB,ZLT,ZTB,DeHavilland,DHC-6 Twin Otter,22,418,"8,778",23,437,"9,177",-1,-19,-399,-4.30%,-4.30%,-4.30%
PB,ZTB,YHR,DeHavilland,DHC-6 Twin Otter,22,418,418,23,437,437,-1,-19,-19,-4.30%,-4.30%,-4.30%
PB,ZTB,ZLT,DeHavilland,DHC-6 Twin Otter,22,418,"8,778",23,437,"9,177",-1,-19,-399,-4.30%,-4.30%,-4.30%
PB,ZUM,YWK,DeHavilland Dash-8,DHC-8-100,0,0,0,1,37,"4,551",-1,-37,"-4,551",-100.00%,-100.00%,-100.00%
PB,ZUM,YWK,DeHavilland Dash-8,DHC-8-300,22,"1,122","138,006",22,"1,122","138,006",0,0,0,0.00%,0.00%,0.00%
PB,ZUM,YYR,DeHavilland Dash-8,DHC-8-100,0,0,0,19,703,"107,559",-19,-703,"-107,559",-100.00%,-100.00%,-100.00%
PB,ZUM,YYR,DeHavilland Dash-8,DHC-8-300,26,"1,326","202,878",8,408,"62,424",18,918,"140,454",225.00%,225.00%,225.00%
PD,BOS,YTZ,DeHavilland Dash-8,DHC-8-400,200,"14,800","6,408,400",200,"14,800","6,408,400",0,0,0,0.00%,0.00%,0.00%
PD,EWR,YTZ,DeHavilland Dash-8,DHC-8-400,401,"29,674","9,970,464",403,"29,822","10,020,192",-2,-148,"-49,728",-0.50%,-0.50%,-0.50%
PD,IAD,YTZ,DeHavilland Dash-8,DHC-8-400,135,"9,990","3,396,600",135,"9,990","3,396,600",0,0,0,0.00%,0.00%,0.00%
PD,MDW,YTZ,DeHavilland Dash-8,DHC-8-400,169,"12,506","5,565,170",169,"12,506","5,565,170",0,0,0,0.00%,0.00%,0.00%
PD,YAM,YTZ,DeHavilland Dash-8,DHC-8-400,81,"5,994","1,906,092",83,"6,142","1,953,156",-2,-148,"-47,064",-2.40%,-2.40%,-2.40%
PD,YFC,YOW,DeHavilland Dash-8,DHC-8-400,31,"2,294","1,018,536",31,"2,294","1,018,536",0,0,0,0.00%,0.00%,0.00%
PD,YHZ,YJT,DeHavilland Dash-8,DHC-8-400,9,666,"229,770",9,666,"229,770",0,0,0,0.00%,0.00%,0.00%
PD,YHZ,YOW,DeHavilland Dash-8,DHC-8-400,146,"10,804","6,428,380",147,"10,878","6,472,410",-1,-74,"-44,030",-0.70%,-0.70%,-0.70%
PD,YHZ,YTZ,DeHavilland Dash-8,DHC-8-400,0,0,0,3,222,"175,602",-3,-222,"-175,602",-100.00%,-100.00%,-100.00%
PD,YHZ,YUL,DeHavilland Dash-8,DHC-8-400,90,"6,660","3,336,660",90,"6,660","3,336,660",0,0,0,0.00%,0.00%,0.00%
PD,YHZ,YYT,DeHavilland Dash-8,DHC-8-400,79,"5,846","3,209,454",79,"5,846","3,209,454",0,0,0,0.00%,0.00%,0.00%
PD,YJT,YHZ,DeHavilland Dash-8,DHC-8-400,9,666,"229,770",9,666,"229,770",0,0,0,0.00%,0.00%,0.00%
PD,YOW,YFC,DeHavilland Dash-8,DHC-8-400,31,"2,294","1,018,536",31,"2,294","1,018,536",0,0,0,0.00%,0.00%,0.00%
PD,YOW,YHZ,DeHavilland Dash-8,DHC-8-400,146,"10,804","6,428,380",147,"10,878","6,472,410",-1,-74,"-44,030",-0.70%,-0.70%,-0.70%
PD,YOW,YQM,DeHavilland Dash-8,DHC-8-400,62,"4,588","2,449,992",62,"4,588","2,449,992",0,0,0,0.00%,0.00%,0.00%
PD,YOW,YSJ,DeHavilland Dash-8,DHC-8-400,31,"2,294","1,094,238",31,"2,294","1,094,238",0,0,0,0.00%,0.00%,0.00%
PD,YOW,YTZ,DeHavilland Dash-8,DHC-8-400,423,"31,302","6,792,534",432,"31,968","6,937,056",-9,-666,"-144,522",-2.10%,-2.10%,-2.10%
PD,YQA,YTZ,DeHavilland Dash-8,DHC-8-400,9,666,"60,606",0,0,0,9,666,"60,606",,,
PD,YQB,YTZ,DeHavilland Dash-8,DHC-8-400,68,"5,032","2,244,272",67,"4,958","2,211,268",1,74,"33,004",1.50%,1.50%,1.50%
PD,YQG,YTZ,DeHavilland Dash-8,DHC-8-400,86,"6,364","1,304,620",88,"6,512","1,334,960",-2,-148,"-30,340",-2.30%,-2.30%,-2.30%
PD,YQM,YOW,DeHavilland Dash-8,DHC-8-400,62,"4,588","2,449,992",62,"4,588","2,449,992",0,0,0,0.00%,0.00%,0.00%
PD,YQT,YTZ,DeHavilland Dash-8,DHC-8-400,171,"12,654","7,314,012",198,"14,652","8,468,856",-27,"-1,998","-1,154,844",-13.60%,-13.60%,-13.60%
PD,YSB,YTZ,DeHavilland Dash-8,DHC-8-400,76,"5,624","1,220,408",78,"5,772","1,252,524",-2,-148,"-32,116",-2.60%,-2.60%,-2.60%
PD,YSJ,YOW,DeHavilland Dash-8,DHC-8-400,31,"2,294","1,094,238",31,"2,294","1,094,238",0,0,0,0.00%,0.00%,0.00%
PD,YTM,YTZ,DeHavilland Dash-8,DHC-8-400,8,592,"178,192",8,592,"178,192",0,0,0,0.00%,0.00%,0.00%
PD,YTM,YUL,DeHavilland Dash-8,DHC-8-400,10,740,"64,380",10,740,"64,380",0,0,0,0.00%,0.00%,0.00%
PD,YTS,YTZ,DeHavilland Dash-8,DHC-8-400,55,"4,070","1,436,710",77,"5,698","2,011,394",-22,"-1,628","-574,684",-28.60%,-28.60%,-28.60%
PD,YTZ,BOS,DeHavilland Dash-8,DHC-8-400,199,"14,726","6,376,358",201,"14,874","6,440,442",-2,-148,"-64,084",-1.00%,-1.00%,-1.00%
PD,YTZ,EWR,DeHavilland Dash-8,DHC-8-400,401,"29,674","9,970,464",403,"29,822","10,020,192",-2,-148,"-49,728",-0.50%,-0.50%,-0.50%
PD,YTZ,IAD,DeHavilland Dash-8,DHC-8-400,135,"9,990","3,396,600",136,"10,064","3,421,760",-1,-74,"-25,160",-0.70%,-0.70%,-0.70%
PD,YTZ,MDW,DeHavilland Dash-8,DHC-8-400,169,"12,506","5,565,170",169,"12,506","5,565,170",0,0,0,0.00%,0.00%,0.00%
PD,YTZ,YAM,DeHavilland Dash-8,DHC-8-400,81,"5,994","1,906,092",83,"6,142","1,953,156",-2,-148,"-47,064",-2.40%,-2.40%,-2.40%
PD,YTZ,YHZ,DeHavilland Dash-8,DHC-8-400,0,0,0,3,222,"175,602",-3,-222,"-175,602",-100.00%,-100.00%,-100.00%
PD,YTZ,YOW,DeHavilland Dash-8,DHC-8-400,424,"31,376","6,808,592",433,"32,042","6,953,114",-9,-666,"-144,522",-2.10%,-2.10%,-2.10%
PD,YTZ,YQA,DeHavilland Dash-8,DHC-8-400,9,666,"60,606",0,0,0,9,666,"60,606",,,
PD,YTZ,YQB,DeHavilland Dash-8,DHC-8-400,68,"5,032","2,244,272",67,"4,958","2,211,268",1,74,"33,004",1.50%,1.50%,1.50%
PD,YTZ,YQG,DeHavilland Dash-8,DHC-8-400,86,"6,364","1,304,620",88,"6,512","1,334,960",-2,-148,"-30,340",-2.30%,-2.30%,-2.30%
PD,YTZ,YQT,DeHavilland Dash-8,DHC-8-400,171,"12,654","7,314,012",198,"14,652","8,468,856",-27,"-1,998","-1,154,844",-13.60%,-13.60%,-13.60%
PD,YTZ,YSB,DeHavilland Dash-8,DHC-8-400,76,"5,624","1,220,408",78,"5,772","1,252,524",-2,-148,"-32,116",-2.60%,-2.60%,-2.60%
PD,YTZ,YTM,DeHavilland Dash-8,DHC-8-400,10,740,"222,740",10,740,"222,740",0,0,0,0.00%,0.00%,0.00%
PD,YTZ,YTS,DeHavilland Dash-8,DHC-8-400,54,"3,996","1,410,588",77,"5,698","2,011,394",-23,"-1,702","-600,806",-29.90%,-29.90%,-29.90%
PD,YTZ,YUL,DeHavilland Dash-8,DHC-8-400,348,"25,752","7,854,360",377,"27,898","8,508,890",-29,"-2,146","-654,530",-7.70%,-7.70%,-7.70%
PD,YUL,YHZ,DeHavilland Dash-8,DHC-8-400,90,"6,660","3,336,660",90,"6,660","3,336,660",0,0,0,0.00%,0.00%,0.00%
PD,YUL,YTM,DeHavilland Dash-8,DHC-8-400,8,592,"51,504",8,592,"51,504",0,0,0,0.00%,0.00%,0.00%
PD,YUL,YTZ,DeHavilland Dash-8,DHC-8-400,350,"25,900","7,899,500",379,"28,046","8,554,030",-29,"-2,146","-654,530",-7.70%,-7.70%,-7.70%
PD,YYT,YHZ,DeHavilland Dash-8,DHC-8-400,79,"5,846","3,209,454",79,"5,846","3,209,454",0,0,0,0.00%,0.00%,0.00%
PF,CDG,YYZ,A320,A321,0,0,0,18,"3,564","13,368,564",-18,"-3,564","-13,368,564",-100.00%,-100.00%,-100.00%
PF,STN,YYZ,A320,A321,0,0,0,16,"3,168","11,312,928",-16,"-3,168","-11,312,928",-100.00%,-100.00%,-100.00%
PF,YYZ,CDG,A320,A321,0,0,0,18,"3,564","13,368,564",-18,"-3,564","-13,368,564",-100.00%,-100.00%,-100.00%
PF,YYZ,STN,A320,A321,0,0,0,16,"3,168","11,312,928",-16,"-3,168","-11,312,928",-100.00%,-100.00%,-100.00%
PJ,FSP,YGR,ATR,ATR-42/72,7,336,"91,728",0,0,0,7,336,"91,728",,,
PJ,FSP,YGR,Cessna,Cessna,0,0,0,7,77,"21,021",-7,-77,"-21,021",-100.00%,-100.00%,-100.00%
PJ,FSP,YHZ,ATR,ATR-42/72,17,816,"307,632",18,864,"325,728",-1,-48,"-18,096",-5.60%,-5.60%,-5.60%
PJ,FSP,YUL,ATR,ATR-42/72,10,480,"406,560",5,240,"203,280",5,240,"203,280",100.00%,100.00%,100.00%
PJ,FSP,YYT,ATR,ATR-42/72,13,624,"106,704",13,624,"106,704",0,0,0,0.00%,0.00%,0.00%
PJ,YGR,FSP,ATR,ATR-42/72,7,336,"91,728",0,0,0,7,336,"91,728",,,
PJ,YGR,FSP,Cessna,Cessna,0,0,0,7,77,"21,021",-7,-77,"-21,021",-100.00%,-100.00%,-100.00%
PJ,YHZ,FSP,ATR,ATR-42/72,17,816,"307,632",18,864,"325,728",-1,-48,"-18,096",-5.60%,-5.60%,-5.60%
PJ,YUL,FSP,ATR,ATR-42/72,10,480,"406,560",5,240,"203,280",5,240,"203,280",100.00%,100.00%,100.00%
PJ,YYT,FSP,ATR,ATR-42/72,13,624,"106,704",13,624,"106,704",0,0,0,0.00%,0.00%,0.00%
PK,ISB,YYZ,B777,B777 Passenger,5,"1,550","10,602,000",5,"1,550","10,602,000",0,0,0,0.00%,0.00%,0.00%
PK,KHI,YYZ,B777,B777 Passenger,4,"1,240","9,007,360",4,"1,240","9,007,360",0,0,0,0.00%,0.00%,0.00%
PK,LHE,YYZ,B777,B777 Passenger,9,"2,790","19,538,370",9,"2,790","19,538,370",0,0,0,0.00%,0.00%,0.00%
PK,YYZ,ISB,B777,B777 Passenger,5,"1,550","10,602,000",5,"1,550","10,602,000",0,0,0,0.00%,0.00%,0.00%
PK,YYZ,KHI,B777,B777 Passenger,4,"1,240","9,007,360",4,"1,240","9,007,360",0,0,0,0.00%,0.00%,0.00%
PK,YYZ,LHE,B777,B777 Passenger,9,"2,790","19,538,370",9,"2,790","19,538,370",0,0,0,0.00%,0.00%,0.00%
PR,JFK,YVR,B777,B777-300 Passenger,0,0,0,18,"6,660","16,310,340",-18,"-6,660","-16,310,340",-100.00%,-100.00%,-100.00%
PR,MNL,YVR,B777,B777-300 Passenger,31,"11,470","75,323,490",31,"11,470","75,323,490",0,0,0,0.00%,0.00%,0.00%
PR,MNL,YYZ,A350,A350,31,"9,145","75,144,465",0,0,0,31,"9,145","75,144,465",,,
PR,MNL,YYZ,B777,B777-300 Passenger,0,0,0,17,"6,290","51,684,930",-17,"-6,290","-51,684,930",-100.00%,-100.00%,-100.00%
PR,YVR,JFK,B777,B777-300 Passenger,0,0,0,17,"6,290","15,404,210",-17,"-6,290","-15,404,210",-100.00%,-100.00%,-100.00%
PR,YVR,MNL,B777,B777-300 Passenger,31,"11,470","75,323,490",31,"11,470","75,323,490",0,0,0,0.00%,0.00%,0.00%
PR,YYZ,MNL,A350,A350,31,"9,145","75,144,465",0,0,0,31,"9,145","75,144,465",,,
PR,YYZ,MNL,B777,B777-300 Passenger,0,0,0,17,"6,290","51,684,930",-17,"-6,290","-51,684,930",-100.00%,-100.00%,-100.00%
PS,KBP,YYZ,B767,B767 Passenger,0,0,0,13,"3,393","16,055,676",-13,"-3,393","-16,055,676",-100.00%,-100.00%,-100.00%
PS,KBP,YYZ,B777,B777 Passenger,18,"6,498","30,748,536",0,0,0,18,"6,498","30,748,536",,,
PS,YYZ,KBP,B767,B767 Passenger,0,0,0,13,"3,393","16,055,676",-13,"-3,393","-16,055,676",-100.00%,-100.00%,-100.00%
PS,YYZ,KBP,B777,B777 Passenger,18,"6,498","30,748,536",0,0,0,18,"6,498","30,748,536",,,
QR,DOH,YUL,B777,B777-300ER Passenger,17,"6,018","38,990,622",14,"5,768","37,370,872",3,250,"1,619,750",21.40%,4.30%,4.30%
QR,YUL,DOH,B777,B777-300ER Passenger,17,"6,018","38,990,622",14,"5,768","37,370,872",3,250,"1,619,750",21.40%,4.30%,4.30%
R0,CXH,LKE,Cessna,208B,48,432,"52,704",0,0,0,48,432,"52,704",,,
R0,LKE,CXH,Cessna,208B,48,432,"52,704",0,0,0,48,432,"52,704",,,
RJ,AMM,YUL,B787,B787,9,"2,430","13,433,040",9,"2,430","13,433,040",0,0,0,0.00%,0.00%,0.00%
RJ,YUL,AMM,B787,B787,9,"2,430","13,433,040",9,"2,430","13,433,040",0,0,0,0.00%,0.00%,0.00%
S4,PDL,YUL,A320,A321,5,930,"2,331,510",0,0,0,5,930,"2,331,510",,,
S4,PDL,YUL,A340,A340,0,0,0,5,"1,515","3,798,105",-5,"-1,515","-3,798,105",-100.00%,-100.00%,-100.00%
S4,PDL,YYZ,A320,A321,27,"5,022","14,121,864",0,0,0,27,"5,022","14,121,864",,,
S4,PDL,YYZ,A340,A340,0,0,0,17,"5,151","14,484,612",-17,"-5,151","-14,484,612",-100.00%,-100.00%,-100.00%
S4,TER,YYZ,A320,A321,4,744,"2,017,728",0,0,0,4,744,"2,017,728",,,
S4,TER,YYZ,A340,A340,0,0,0,5,"1,515","4,108,680",-5,"-1,515","-4,108,680",-100.00%,-100.00%,-100.00%
S4,YUL,PDL,A320,A321,5,930,"2,331,510",0,0,0,5,930,"2,331,510",,,
S4,YUL,PDL,A340,A340,0,0,0,5,"1,515","3,798,105",-5,"-1,515","-3,798,105",-100.00%,-100.00%,-100.00%
S4,YYZ,PDL,A320,A321,27,"5,022","14,121,864",0,0,0,27,"5,022","14,121,864",,,
S4,YYZ,PDL,A340,A340,0,0,0,18,"5,454","15,336,648",-18,"-5,454","-15,336,648",-100.00%,-100.00%,-100.00%
